timestamp,buy_from,sell_to,buy_price,sell_price,amount_usd,profit_usd,balance_usd,fees_paid_usd
2025-01-19T23:15:00,coinbase,binance,100419.89,100867.8,10000,24.52,11058.41,20.0346
2025-01-19T23:25:00,coinbase,binance,100407.36,100800.04,10000,19.04,11077.45,20.0291
2025-01-19T23:50:00,coinbase,binance,101299.55,101812.39,10000,30.53,11107.99,20.0406
2025-01-20T00:15:00,coinbase,binance,100938.26,101469.41,10000,32.53,11140.51,20.0426
2025-01-20T00:30:00,coinbase,binance,100781.67,101192.56,10000,20.7,11161.21,20.0307
2025-01-20T00:45:00,coinbase,binance,99614.31,100017.81,10000,20.44,11181.65,20.0305
2025-01-20T00:55:00,coinbase,binance,99651.05,99978.22,10000,12.78,11194.42,20.0228
2025-01-20T01:00:00,coinbase,binance,99734.82,100100.42,10000,16.59,11211.02,20.0266
2025-01-20T01:05:00,coinbase,binance,100075.73,100474.21,10000,19.75,11230.77,20.0298
2025-01-20T01:50:00,coinbase,binance,100031.51,100517.97,10000,28.54,11259.31,20.0386
2025-01-20T03:10:00,coinbase,binance,101669.68,101990.29,10000,11.48,11270.79,20.0215
2025-01-20T03:25:00,coinbase,binance,101533.43,101876.32,10000,13.71,11284.5,20.0237
2025-01-20T03:35:00,coinbase,binance,101495.39,101856.04,10000,15.47,11299.98,20.0255
2025-01-20T03:40:00,coinbase,binance,101469.95,101841.74,10000,16.58,11316.55,20.0266
2025-01-20T03:45:00,coinbase,binance,101392.8,101809.38,10000,21.01,11337.57,20.031
2025-01-20T04:05:00,coinbase,binance,101517.21,101852.78,10000,13.0,11350.57,20.023
2025-01-20T04:15:00,coinbase,binance,101608.35,101968.66,10000,15.4,11365.97,20.0254
2025-01-20T04:20:00,coinbase,binance,101686.8,101997.97,10000,10.55,11376.52,20.0206
2025-01-20T04:25:00,coinbase,binance,101659.63,101987.98,10000,12.24,11388.76,20.0223
2025-01-20T05:50:00,coinbase,binance,102375.01,102794.37,10000,20.89,11409.65,20.0309
2025-01-20T06:50:00,coinbase,binance,107878.53,108399.97,10000,28.25,11437.9,20.0383
2025-01-20T07:05:00,coinbase,binance,108390.93,109005.3,10000,36.58,11474.48,20.0466
2025-01-20T07:25:00,coinbase,binance,108556.5,108901.82,10000,11.76,11486.24,20.0218
2025-01-20T07:50:00,coinbase,binance,107630.53,107976.81,10000,12.12,11498.35,20.0221
2025-01-20T08:00:00,coinbase,binance,107313.34,107642.98,10000,10.67,11509.02,20.0207
2025-01-20T08:25:00,coinbase,binance,107885.08,108210.21,10000,10.09,11519.11,20.0201
2025-01-20T09:30:00,coinbase,binance,107790.16,108243.34,10000,21.97,11541.08,20.032
2025-01-20T10:05:00,coinbase,binance,107850.85,108253.6,10000,17.28,11558.35,20.0273
2025-01-20T11:05:00,coinbase,binance,107837.79,108163.07,10000,10.11,11568.47,20.0201
2025-01-20T12:15:00,coinbase,binance,105914.47,106291.31,10000,15.52,11583.99,20.0255
2025-01-20T12:45:00,coinbase,binance,106886.5,107211.19,10000,10.33,11594.31,20.0203
2025-01-20T14:20:00,coinbase,binance,107561.88,107949.21,10000,15.95,11610.26,20.026
2025-01-20T15:40:00,coinbase,binance,106322.21,106686.54,10000,14.21,11624.47,20.0242
2025-01-20T16:30:00,coinbase,binance,105266.31,105664.13,10000,17.73,11642.2,20.0278
2025-01-20T17:00:00,coinbase,binance,104381.61,104732.32,10000,13.54,11655.74,20.0236
2025-01-20T17:10:00,coinbase,binance,104081.32,104441.47,10000,14.54,11670.28,20.0246
2025-01-20T17:35:00,coinbase,binance,101497.58,102354.85,10000,64.3,11734.58,20.0744
2025-01-20T17:40:00,coinbase,binance,100714.16,101254.2,10000,33.52,11768.11,20.0436
2025-01-20T17:45:00,binance,coinbase,101683.01,102184.8,10000,29.26,11797.37,20.0393
2025-01-20T17:55:00,coinbase,binance,102829.6,103572.42,10000,52.1,11849.47,20.0622
2025-01-20T18:15:00,coinbase,binance,103340.01,103713.98,10000,16.13,11865.6,20.0262
2025-01-20T18:25:00,coinbase,binance,103630.4,103999.86,10000,15.59,11881.19,20.0256
2025-01-20T18:50:00,binance,coinbase,103939.04,104311.39,10000,15.76,11896.95,20.0258
2025-01-20T19:05:00,coinbase,binance,103222.0,103575.82,10000,14.22,11911.17,20.0242
2025-01-20T19:15:00,coinbase,binance,103160.41,103631.17,10000,25.55,11936.72,20.0356
2025-01-20T19:40:00,coinbase,binance,103171.04,103502.93,10000,12.11,11948.84,20.0221
2025-01-20T20:00:00,coinbase,binance,103488.75,103841.16,10000,13.99,11962.83,20.024
2025-01-20T20:35:00,coinbase,binance,103892.55,104313.32,10000,20.43,11983.26,20.0305
2025-01-20T20:40:00,coinbase,binance,103751.46,104067.92,10000,10.45,11993.71,20.0205
2025-01-20T20:55:00,coinbase,binance,103527.69,103848.82,10000,10.97,12004.68,20.021
2025-01-20T21:25:00,coinbase,binance,103590.75,103997.82,10000,19.23,12023.91,20.0293
2025-01-20T21:35:00,coinbase,binance,103264.21,103652.74,10000,17.56,12041.46,20.0276
2025-01-20T21:45:00,coinbase,binance,103012.79,103336.33,10000,11.35,12052.82,20.0214
2025-01-20T21:55:00,coinbase,binance,102479.85,102927.91,10000,23.64,12076.46,20.0337
2025-01-20T22:05:00,coinbase,binance,102427.88,102927.38,10000,28.68,12105.14,20.0387
2025-01-20T22:15:00,coinbase,binance,102800.67,103131.31,10000,12.11,12117.25,20.0221
2025-01-20T23:10:00,coinbase,binance,102615.9,103092.07,10000,26.32,12143.57,20.0364
2025-01-20T23:45:00,coinbase,binance,101989.89,102463.31,10000,26.34,12169.91,20.0364
2025-01-20T23:50:00,coinbase,binance,101849.71,102288.56,10000,23.01,12192.92,20.033
2025-01-21T00:50:00,coinbase,binance,101231.03,101654.56,10000,21.76,12214.68,20.0318
2025-01-21T01:10:00,binance,coinbase,101692.95,102034.15,10000,13.49,12228.18,20.0235
2025-01-21T01:35:00,coinbase,binance,100950.48,101303.57,10000,14.92,12243.1,20.0249
2025-01-21T02:25:00,coinbase,binance,102297.21,102629.65,10000,12.44,12255.54,20.0225
2025-01-21T04:00:00,coinbase,binance,102574.84,103065.08,10000,27.71,12283.25,20.0377
2025-01-21T04:25:00,coinbase,binance,102585.56,102974.03,10000,17.8,12301.05,20.0278
2025-01-21T05:20:00,coinbase,binance,101733.42,102164.5,10000,22.3,12323.35,20.0323
2025-01-21T05:30:00,coinbase,binance,101292.45,101775.58,10000,27.61,12350.96,20.0376
2025-01-21T05:35:00,coinbase,binance,101452.81,101766.48,10000,10.87,12361.82,20.0209
2025-01-21T05:45:00,coinbase,binance,101364.27,101753.57,10000,18.34,12380.16,20.0284
2025-01-21T05:50:00,coinbase,binance,101370.82,101718.59,10000,14.25,12394.41,20.0243
2025-01-21T09:05:00,binance,coinbase,102278.56,102718.74,10000,22.96,12417.37,20.033
2025-01-21T13:35:00,coinbase,binance,104459.23,104813.42,10000,13.85,12431.22,20.0239
2025-01-21T14:35:00,coinbase,binance,103354.27,103742.04,10000,17.45,12448.68,20.0275
2025-01-21T14:45:00,coinbase,binance,103825.58,104143.32,10000,10.55,12459.23,20.0206
2025-01-21T15:00:00,coinbase,binance,102838.0,103156.58,10000,10.93,12470.15,20.0209
2025-01-21T15:45:00,coinbase,binance,103486.0,103931.98,10000,23.02,12493.17,20.0331
2025-01-21T16:20:00,coinbase,binance,105994.56,106355.87,10000,14.03,12507.2,20.0241
2025-01-21T16:45:00,binance,coinbase,105199.34,105583.24,10000,16.43,12523.63,20.0265
2025-01-21T16:50:00,coinbase,binance,105239.82,105639.29,10000,17.89,12541.53,20.0279
2025-01-21T17:45:00,binance,coinbase,105880.2,106278.81,10000,17.58,12559.11,20.0276
2025-01-21T17:55:00,binance,coinbase,105782.15,106195.4,10000,19.0,12578.11,20.029
2025-01-21T18:25:00,binance,coinbase,106033.64,106409.11,10000,15.35,12593.45,20.0254
2025-01-21T18:35:00,binance,coinbase,106712.54,107211.86,10000,26.71,12620.16,20.0367
2025-01-21T19:25:00,binance,coinbase,106425.51,106905.84,10000,25.05,12645.22,20.0351
2025-01-21T19:50:00,binance,coinbase,106681.95,107022.61,10000,11.88,12657.09,20.0219
2025-01-21T20:30:00,coinbase,binance,106398.14,106780.78,10000,15.9,12672.99,20.0259
2025-01-21T21:10:00,coinbase,binance,106028.3,106401.71,10000,15.16,12688.15,20.0252
2025-01-21T23:15:00,binance,coinbase,105670.25,106044.55,10000,15.36,12703.51,20.0254
2025-01-21T23:55:00,binance,coinbase,105790.01,106159.26,10000,14.84,12718.36,20.0249
2025-01-22T06:10:00,binance,coinbase,105557.59,105894.57,10000,11.87,12730.23,20.0219
2025-01-22T07:30:00,coinbase,binance,105241.36,105563.57,10000,10.57,12740.79,20.0206
2025-01-22T07:55:00,coinbase,binance,105062.67,105427.82,10000,14.7,12755.49,20.0247
2025-01-22T08:05:00,coinbase,binance,104987.01,105335.01,10000,13.09,12768.58,20.0231
2025-01-22T09:05:00,coinbase,binance,104993.94,105366.85,10000,15.46,12784.04,20.0255
2025-01-22T09:10:00,coinbase,binance,105001.11,105329.81,10000,11.25,12795.29,20.0213
2025-01-22T10:00:00,coinbase,binance,104757.18,105155.91,10000,18.0,12813.28,20.028
2025-01-22T12:10:00,binance,coinbase,105102.04,105456.34,10000,13.65,12826.94,20.0237
2025-01-22T13:20:00,coinbase,binance,104974.08,105292.33,10000,10.27,12837.2,20.0203
2025-01-22T14:15:00,binance,coinbase,103951.12,104270.36,10000,10.66,12847.86,20.0207
2025-01-22T15:00:00,binance,coinbase,104146.79,104461.84,10000,10.2,12858.06,20.0202
2025-01-22T15:20:00,binance,coinbase,104444.24,104857.38,10000,19.49,12877.55,20.0295
2025-01-22T15:30:00,coinbase,binance,104196.25,104541.34,10000,13.06,12890.61,20.0231
2025-01-22T15:55:00,coinbase,binance,104182.11,104591.55,10000,19.23,12909.84,20.0293
2025-01-22T18:05:00,binance,coinbase,104188.84,104542.93,10000,13.93,12923.77,20.024
2025-01-22T19:10:00,binance,coinbase,103944.17,104265.33,10000,10.85,12934.62,20.0209
2025-01-22T20:35:00,coinbase,binance,104197.24,104594.14,10000,18.03,12952.64,20.0281
2025-01-22T21:00:00,coinbase,binance,104118.66,104480.83,10000,14.72,12967.37,20.0247
2025-01-22T21:10:00,coinbase,binance,103867.98,104207.24,10000,12.61,12979.97,20.0226
2025-01-23T01:25:00,binance,coinbase,103152.31,103477.49,10000,11.47,12991.45,20.0215
2025-01-23T02:05:00,coinbase,binance,102414.66,102770.68,10000,14.7,13006.15,20.0247
2025-01-23T04:10:00,coinbase,binance,102191.46,102535.35,10000,13.59,13019.74,20.0236
2025-01-23T04:15:00,coinbase,binance,101896.53,102326.12,10000,22.09,13041.83,20.0321
2025-01-23T04:20:00,coinbase,binance,101717.13,102184.77,10000,25.89,13067.72,20.0359
2025-01-23T04:35:00,coinbase,binance,101529.06,102071.07,10000,33.29,13101.01,20.0433
2025-01-23T05:25:00,coinbase,binance,101948.12,102270.77,10000,11.6,13112.6,20.0216
2025-01-23T07:35:00,binance,coinbase,102125.02,102451.29,10000,11.89,13124.5,20.0219
2025-01-23T09:50:00,coinbase,binance,101600.01,102032.35,10000,22.48,13146.98,20.0325
2025-01-23T09:55:00,coinbase,binance,101604.61,102020.52,10000,20.86,13167.84,20.0309
2025-01-23T10:40:00,coinbase,binance,101254.38,101632.37,10000,17.27,13185.1,20.0273
2025-01-23T11:10:00,binance,coinbase,101649.67,101958.28,10000,10.31,13195.41,20.0203
2025-01-23T13:35:00,binance,coinbase,101654.2,102010.43,10000,14.98,13210.4,20.025
2025-01-23T15:05:00,coinbase,binance,103486.73,103840.2,10000,14.1,13224.5,20.0241
2025-01-23T15:20:00,binance,coinbase,103748.72,104134.49,10000,17.12,13241.61,20.0271
2025-01-23T15:25:00,binance,coinbase,103825.83,104180.13,10000,14.07,13255.68,20.0241
2025-01-23T15:30:00,binance,coinbase,104231.0,104723.98,10000,27.21,13282.89,20.0372
2025-01-23T15:40:00,binance,coinbase,104660.01,105049.53,10000,17.15,13300.05,20.0272
2025-01-23T17:30:00,binance,coinbase,105147.55,105504.0,10000,13.84,13313.89,20.0239
2025-01-23T17:45:00,binance,coinbase,105523.6,105922.48,10000,17.73,13331.62,20.0278
2025-01-23T17:55:00,binance,coinbase,105546.64,105957.45,10000,18.85,13350.48,20.0289
2025-01-23T18:00:00,binance,coinbase,105776.54,106155.87,10000,15.8,13366.28,20.0258
2025-01-23T18:30:00,binance,coinbase,105466.03,105848.53,10000,16.21,13382.48,20.0262
2025-01-23T19:05:00,binance,coinbase,104863.82,105262.46,10000,17.95,13400.43,20.028
2025-01-23T19:15:00,coinbase,binance,104571.02,104963.76,10000,17.49,13417.92,20.0275
2025-01-23T19:25:00,binance,coinbase,104586.18,104938.13,10000,13.59,13431.52,20.0236
2025-01-23T22:10:00,binance,coinbase,103374.81,103711.19,10000,12.48,13444.0,20.0225
2025-01-24T00:10:00,coinbase,binance,103831.66,104188.4,10000,14.3,13458.3,20.0243
2025-01-24T03:35:00,binance,coinbase,103899.74,104247.24,10000,13.39,13471.69,20.0234
2025-01-24T04:35:00,binance,coinbase,103910.87,104245.9,10000,12.19,13483.88,20.0222
2025-01-24T04:40:00,binance,coinbase,104072.42,104412.16,10000,12.59,13496.47,20.0226
2025-01-24T05:30:00,binance,coinbase,104647.49,104963.93,10000,10.19,13506.65,20.0202
2025-01-24T05:55:00,binance,coinbase,104837.05,105213.47,10000,15.84,13522.5,20.0259
2025-01-24T08:10:00,binance,coinbase,104880.12,105237.28,10000,14.0,13536.49,20.024
2025-01-24T08:15:00,binance,coinbase,104880.12,105240.4,10000,14.29,13550.79,20.0243
2025-01-24T15:20:00,binance,coinbase,105556.1,105981.02,10000,20.18,13570.97,20.0302
2025-01-24T15:30:00,binance,coinbase,105488.19,105830.04,10000,12.35,13583.32,20.0224
2025-01-24T15:35:00,binance,coinbase,105510.89,105857.67,10000,12.81,13596.13,20.0228
2025-01-24T15:50:00,binance,coinbase,105491.35,105931.69,10000,21.67,13617.8,20.0317
2025-01-24T17:20:00,binance,coinbase,105985.17,106354.38,10000,14.78,13632.58,20.0248
2025-01-24T18:00:00,binance,coinbase,106574.97,106982.09,10000,18.13,13650.71,20.0282
2025-01-24T18:10:00,binance,coinbase,106380.26,106723.07,10000,12.17,13662.88,20.0222
2025-01-24T18:15:00,binance,coinbase,106607.3,106952.95,10000,12.37,13675.25,20.0224
2025-01-24T23:00:00,coinbase,binance,104549.95,104878.33,10000,11.36,13686.61,20.0214
2025-01-27T11:35:00,coinbase,binance,98938.04,99240.0,10000,10.47,13697.08,20.0205
2025-01-27T22:20:00,coinbase,binance,101331.81,101664.76,10000,12.8,13709.88,20.0228
2025-01-28T00:00:00,binance,coinbase,102162.53,102527.39,10000,15.65,13725.53,20.0257
2025-01-28T00:05:00,binance,coinbase,102456.65,102864.98,10000,19.78,13745.32,20.0298
2025-01-28T12:15:00,coinbase,binance,102631.08,102957.07,10000,11.71,13757.03,20.0217
2025-01-28T13:05:00,binance,coinbase,102466.54,102799.99,10000,12.49,13769.51,20.0225
2025-01-28T13:10:00,binance,coinbase,102512.62,102888.72,10000,16.62,13786.14,20.0267
2025-01-28T15:05:00,coinbase,binance,102849.91,103219.95,10000,15.92,13802.05,20.0259
2025-01-28T15:20:00,binance,coinbase,102715.46,103096.7,10000,17.05,13819.11,20.0271
2025-01-28T16:20:00,coinbase,binance,102150.87,102490.01,10000,13.14,13832.25,20.0232
2025-01-28T17:35:00,coinbase,binance,102662.28,103002.42,10000,13.08,13845.33,20.0231
2025-01-28T20:15:00,coinbase,binance,102080.67,102416.99,10000,12.89,13858.22,20.0229
2025-01-28T22:50:00,coinbase,binance,100945.52,101264.81,10000,11.58,13869.79,20.0216
2025-01-29T19:40:00,binance,coinbase,103100.95,103447.08,10000,13.51,13883.31,20.0235
2025-01-29T20:05:00,binance,coinbase,102860.11,103249.39,10000,17.78,13901.09,20.0278
2025-01-31T18:55:00,coinbase,binance,102565.23,102927.68,10000,15.28,13916.37,20.0253
2025-02-02T03:20:00,coinbase,binance,99684.21,100000.0,10000,11.63,13927.99,20.0216
2025-02-02T17:45:00,coinbase,binance,97436.69,97730.51,10000,10.1,13938.1,20.0201
2025-02-02T18:00:00,coinbase,binance,97307.87,97631.7,10000,13.22,13951.32,20.0232
2025-02-03T00:40:00,coinbase,binance,95668.34,96000.01,10000,14.61,13965.93,20.0246
2025-02-03T01:30:00,coinbase,binance,95045.66,95446.43,10000,22.09,13988.02,20.0321
2025-02-03T01:35:00,coinbase,binance,94515.16,95000.0,10000,31.21,14019.22,20.0412
2025-02-03T02:00:00,coinbase,binance,92947.84,93278.89,10000,15.56,14034.78,20.0256
2025-02-03T02:05:00,binance,coinbase,92543.08,93052.18,10000,34.91,14069.69,20.045
2025-02-03T02:25:00,coinbase,binance,93894.66,94385.5,10000,32.18,14101.87,20.0422
2025-02-03T02:45:00,coinbase,binance,93731.79,94070.08,10000,16.03,14117.9,20.0261
2025-02-03T03:50:00,coinbase,binance,93952.57,94252.76,10000,11.9,14129.8,20.0219
2025-02-03T04:00:00,binance,coinbase,93962.26,94382.56,10000,24.65,14154.45,20.0347
2025-02-03T04:45:00,binance,coinbase,92928.61,93212.57,10000,10.51,14164.96,20.0205
2025-02-03T15:15:00,binance,coinbase,96820.1,97114.72,10000,10.38,14175.34,20.0204
2025-02-03T15:45:00,binance,coinbase,98973.54,99374.02,10000,20.39,14195.73,20.0304
2025-02-03T16:10:00,binance,coinbase,98210.29,98645.67,10000,24.25,14219.98,20.0343
2025-02-03T16:20:00,binance,coinbase,98480.87,99029.44,10000,35.6,14255.58,20.0456
2025-02-03T16:35:00,binance,coinbase,98659.76,98994.02,10000,13.82,14269.4,20.0238
2025-02-03T17:10:00,binance,coinbase,98344.37,98644.43,10000,10.46,14279.87,20.0205
2025-02-03T19:40:00,binance,coinbase,101058.87,101401.97,10000,13.89,14293.76,20.0239
2025-02-03T19:55:00,binance,coinbase,101785.71,102094.44,10000,10.28,14304.04,20.0203
2025-02-03T20:20:00,binance,coinbase,101638.01,102056.0,10000,21.05,14325.09,20.0311
2025-02-03T20:25:00,binance,coinbase,101530.0,101885.57,10000,14.96,14340.05,20.025
2025-02-03T20:50:00,binance,coinbase,101400.7,101717.02,10000,11.14,14351.2,20.0212
2025-02-04T00:30:00,binance,coinbase,101304.35,101629.97,10000,12.09,14363.28,20.0221
2025-02-04T05:25:00,binance,coinbase,98475.53,98934.37,10000,26.51,14389.8,20.0365
2025-02-04T05:40:00,binance,coinbase,98501.95,98851.0,10000,15.38,14405.17,20.0254
2025-02-04T08:45:00,binance,coinbase,97992.07,98295.24,10000,10.89,14416.06,20.0209
2025-02-04T12:50:00,binance,coinbase,99220.92,99522.79,10000,10.37,14426.43,20.0204
2025-02-04T14:50:00,binance,coinbase,99828.51,100134.52,10000,10.6,14437.03,20.0206
2025-02-04T19:00:00,binance,coinbase,99360.68,99663.86,10000,10.46,14447.49,20.0205
2025-02-04T19:10:00,binance,coinbase,99742.51,100044.12,10000,10.19,14457.68,20.0202
2025-02-05T20:40:00,coinbase,binance,96937.04,97278.6,10000,15.17,14472.86,20.0252
